seed,episode,total_steps,ret,length,terminal_cause,n_awake,n_nrem,n_rem,mean_overload,mean_recall
1,0,131,-120.86250000000003,131,energy,48,37,46,0.4623091603053435,1.0
1,1,257,-115.22499999999998,126,energy,55,30,41,0.5009920634920635,0.998015873015873
1,2,335,-105.69687499999999,78,energy,39,19,20,0.5230368589743589,1.0
1,3,346,-100.36875,11,overload,7,2,2,0.6335227272727273,1.0
1,4,447,-104.79062499999999,101,energy,52,25,24,0.5137685643564357,0.9987623762376238
1,5,522,-103.25625,75,energy,44,17,14,0.58875,0.9916666666666667
1,6,561,-100.840625,39,overload,22,8,9,0.5420673076923077,1.0
1,7,577,-98.559375,16,overload,14,2,0,0.7724609375,0.7734375
1,8,613,-100.178125,36,overload,25,7,4,0.6688368055555556,1.0
1,9,622,-98.646875,9,overload,8,1,0,0.7274305555555556,0.9861111111111112
1,10,631,-98.81875,9,overload,8,1,0,0.7465277777777778,1.0
1,11,690,-103.090625,59,energy,32,11,16,0.5489936440677966,1.0
1,12,721,-98.453125,31,energy,21,4,6,0.5952620967741935,0.9959677419354839
1,13,754,-100.725,33,overload,22,8,3,0.6553030303030303,1.0
1,14,793,-98.5625,39,energy,24,6,9,0.5400641025641025,0.9967948717948718
1,15,830,-98.175,37,energy,24,5,8,0.5641891891891891,0.9864864864864865
1,16,849,-96.846875,19,energy,16,0,3,0.6603618421052632,0.9605263157894737
1,17,883,-97.740625,34,energy,23,4,7,0.5776654411764706,1.0
1,18,897,-99.728125,14,overload,10,2,2,0.6662946428571429,1.0
1,19,930,-97.128125,33,energy,25,5,3,0.6463068181818182,0.9848484848484849
1,20,955,-96.765625,25,energy,20,2,3,0.650625,1.0
1,21,963,-98.125,8,overload,8,0,0,0.765625,0.96875
1,22,973,-99.278125,10,overload,8,1,1,0.7078125,1.0
1,23,1002,-98.56875,29,energy,18,2,9,0.5334051724137931,1.0
1,24,1045,-98.3,43,energy,30,8,5,0.627906976744186,0.9709302325581395
1,25,1072,-97.503125,27,energy,19,2,6,0.5815972222222222,0.9814814814814815
1,26,1090,-96.559375,18,overload,16,1,1,0.6866319444444444,0.9583333333333334
1,27,1109,-96.565625,19,overload,16,2,1,0.6455592105263158,0.9342105263157895
1,28,1117,-97.8125,8,overload,8,0,0,0.7265625,0.953125
1,29,1136,-96.846875,19,energy,16,0,3,0.6603618421052632,0.9473684210526315
1,30,1154,-97.403125,18,overload,16,1,1,0.7335069444444444,1.0
1,31,1174,-95.95625,20,overload,17,1,2,0.6328125,0.99375
1,32,1181,-98.7875,7,overload,6,1,0,0.6696428571428571,1.0
1,33,1206,-96.234375,25,energy,20,2,3,0.629375,0.995
1,34,1221,-96.45,15,overload,13,0,2,0.6166666666666667,1.0
1,35,1238,-99.71875,17,overload,12,2,3,0.6599264705882353,0.9926470588235294
1,36,1256,-96.73124999999999,18,energy,16,0,2,0.6961805555555556,0.9652777777777778
1,37,1270,-96.4375,14,overload,14,0,0,0.7455357142857143,0.9553571428571429
1,38,1286,-96.35,16,overload,15,1,0,0.703125,0.96875
1,39,1295,-97.515625,9,overload,9,0,0,0.7239583333333334,1.0
1,40,1303,-97.828125,8,overload,8,0,0,0.728515625,1.0
1,41,1329,-98.084375,26,energy,20,3,3,0.6724759615384616,0.9951923076923077
1,42,1340,-97.359375,11,overload,11,0,0,0.7599431818181818,1.0
1,43,1352,-97.465625,12,overload,10,1,1,0.60546875,0.9895833333333334
1,44,1375,-97.40625,23,overload,18,2,3,0.6480978260869565,1.0
1,45,1389,-97.575,14,overload,12,1,1,0.6696428571428571,0.9464285714285714
1,46,1404,-96.809375,15,overload,13,1,1,0.640625,0.9833333333333333
1,47,1412,-97.859375,8,overload,8,0,0,0.732421875,0.96875
1,48,1428,-97.753125,16,overload,13,1,2,0.6533203125,0.9609375
1,49,1451,-96.396875,23,energy,17,1,5,0.5563858695652174,1.0
1,50,1479,-98.04375,28,overload,21,3,4,0.6551339285714286,0.9866071428571429
1,51,1501,-97.15,22,overload,18,2,2,0.6704545454545454,0.9772727272727273
1,52,1513,-97.115625,12,overload,11,0,1,0.66796875,1.0
1,53,1531,-97.76875,18,overload,15,2,1,0.6927083333333334,0.9861111111111112
1,54,1546,-95.896875,15,overload,14,0,1,0.653125,0.975
1,55,1565,-97.925,19,overload,16,1,2,0.7171052631578947,0.9736842105263158
1,56,1575,-98.0375,10,overload,9,1,0,0.69375,1.0
1,57,1593,-96.73125,18,overload,16,1,1,0.6961805555555556,0.9583333333333334
1,58,1608,-97.271875,15,overload,14,0,1,0.7447916666666666,1.0
1,59,1634,-96.865625,26,energy,20,2,4,0.6256009615384616,1.0
1,60,1660,-96.771875,26,energy,20,2,4,0.6219951923076923,0.9759615384615384
1,61,1669,-97.453125,9,overload,9,0,0,0.7170138888888888,0.9583333333333334
1,62,1687,-96.68437499999999,18,energy,16,0,2,0.6935763888888888,0.9583333333333334
1,63,1703,-95.85,16,overload,15,0,1,0.671875,0.96875
1,64,1718,-97.20625,15,overload,12,2,1,0.59375,0.9833333333333333
1,65,1727,-97.921875,9,overload,9,0,0,0.7690972222222222,0.9444444444444444
1,66,1745,-95.6,18,energy,17,0,1,0.6944444444444444,0.8819444444444444
1,67,1765,-98.228125,20,energy,16,1,3,0.69140625,1.0
1,68,1794,-95.35625,29,energy,22,3,4,0.5743534482758621,0.9827586206896551
1,69,1823,-96.0125,29,energy,22,3,4,0.5969827586206896,0.9956896551724138
1,70,1840,-96.878125,17,overload,14,0,3,0.6222426470588235,0.9852941176470589
1,71,1858,-95.278125,18,energy,16,0,2,0.6154513888888888,0.9930555555555556
1,72,1877,-95.690625,19,overload,16,1,2,0.5995065789473685,1.0
1,73,1887,-98.06875,10,overload,9,0,1,0.696875,0.9875
1,74,1900,-99.128125,13,overload,10,3,0,0.6790865384615384,1.0
1,75,1909,-97.53125,9,overload,9,0,0,0.7256944444444444,0.9583333333333334
1,76,1921,-97.953125,12,overload,12,0,0,0.8294270833333334,0.9479166666666666
1,77,1939,-97.590625,18,overload,16,2,0,0.7439236111111112,0.9513888888888888
1,78,1956,-94.809375,17,overload,15,0,2,0.5652573529411765,0.9852941176470589
1,79,1966,-99.434375,10,overload,8,2,0,0.7234375,0.9125
1,80,1980,-99.2125,14,overload,10,0,4,0.6294642857142857,0.9910714285714286
1,81,1995,-97.6375,15,overload,13,2,0,0.6958333333333333,0.9583333333333334
1,82,2018,-97.421875,23,energy,18,2,3,0.6487771739130435,0.9945652173913043
1,83,2042,-96.196875,24,energy,20,2,2,0.658203125,1.0
1,84,2069,-97.56875,27,overload,21,3,3,0.6655092592592593,0.9814814814814815
1,85,2087,-96.225,18,overload,17,1,0,0.7291666666666666,0.9861111111111112
1,86,2106,-97.028125,19,energy,17,1,1,0.727796052631579,0.9736842105263158
1,87,2116,-98.209375,10,overload,9,1,0,0.7109375,0.9375
1,88,2134,-97.471875,18,overload,15,0,3,0.6762152777777778,1.0
1,89,2152,-96.38749999999999,18,energy,16,0,2,0.6770833333333334,0.9652777777777778
1,90,2162,-97.65625,10,overload,10,0,0,0.765625,0.9375
1,91,2174,-97.88125,12,overload,11,1,0,0.7317708333333334,1.0
1,92,2182,-97.703125,8,overload,8,0,0,0.712890625,1.0
1,93,2196,-97.021875,14,overload,13,0,1,0.7087053571428571,0.9464285714285714
1,94,2211,-97.48125,15,overload,13,1,1,0.6854166666666667,1.0
1,95,2219,-97.75,8,overload,8,0,0,0.71875,0.96875
1,96,2237,-96.715625,18,energy,16,0,2,0.6953125,0.9791666666666666
1,97,2254,-99.26875,17,overload,14,2,1,0.7628676470588235,0.9117647058823529
1,98,2264,-97.240625,10,overload,9,0,1,0.6140625,0.975
1,99,2278,-98.325,14,overload,12,2,0,0.7232142857142857,0.9285714285714286
1,100,2293,-96.021875,15,overload,14,0,1,0.6614583333333334,0.9916666666666667
1,101,2311,-98.8,18,overload,15,2,1,0.75,0.9791666666666666
1,102,2323,-98.91875,12,overload,10,2,0,0.7265625,0.9895833333333334
1,103,2331,-98.046875,8,overload,8,0,0,0.755859375,0.90625
1,104,2346,-97.834375,15,overload,14,1,0,0.7822916666666667,0.9083333333333333
1,105,2365,-95.05,19,energy,16,0,3,0.5657894736842105,0.9539473684210527
1,106,2390,-98.203125,25,energy,20,2,3,0.708125,0.965
1,107,2413,-95.734375,23,energy,18,1,4,0.5754076086956522,1.0
1,108,2432,-96.4875,19,energy,16,0,3,0.6414473684210527,0.993421052631579
1,109,2442,-97.484375,10,overload,10,0,0,0.7484375,0.9875
1,110,2461,-95.315625,19,energy,16,0,3,0.5797697368421053,1.0
1,111,2475,-99.29375,14,overload,12,2,0,0.7924107142857143,0.9196428571428571
1,112,2497,-97.196875,22,energy,18,1,3,0.6725852272727273,0.9488636363636364
1,113,2522,-98.03125,25,energy,20,2,3,0.70125,0.985
1,114,2545,-96.78125,23,energy,18,1,4,0.6209239130434783,1.0
1,115,2555,-98.44375,10,overload,9,1,0,0.734375,0.9875
1,116,2567,-99.028125,12,overload,10,2,0,0.7356770833333334,1.0
1,117,2591,-97.7375,24,energy,21,2,1,0.7682291666666666,0.96875
1,118,2597,-98.9375,6,overload,6,0,0,0.8229166666666666,0.9583333333333334
1,119,2629,-97.9,32,energy,23,4,5,0.625,1.0
1,120,2646,-98.753125,17,overload,14,3,0,0.7325367647058824,0.9411764705882353
1,121,2659,-97.496875,13,overload,11,1,1,0.6382211538461539,1.0
1,122,2677,-96.809375,18,energy,16,0,2,0.7005208333333334,0.9791666666666666
1,123,2694,-97.10625,17,overload,15,2,0,0.7003676470588235,0.9926470588235294
1,124,2706,-98.715625,12,overload,10,2,0,0.7096354166666666,0.9895833333333334
1,125,2726,-96.296875,20,energy,15,0,5,0.53984375,1.0
1,126,2744,-96.246875,18,energy,16,0,2,0.6692708333333334,1.0
1,127,2754,-97.421875,10,overload,10,0,0,0.7421875,0.9125
1,128,2774,-97.215625,20,overload,18,1,1,0.75078125,0.925
1,129,2791,-98.159375,17,overload,14,2,1,0.6976102941176471,0.9852941176470589
1,130,2803,-97.81875,12,overload,11,0,1,0.7265625,0.9270833333333334
1,131,2824,-96.878125,21,energy,18,1,2,0.6941964285714286,0.9642857142857143
1,132,2844,-96.734375,20,energy,15,0,5,0.56171875,1.0
1,133,2871,-99.140625,27,energy,22,3,2,0.7644675925925926,0.9629629629629629
1,134,2884,-99.425,13,overload,10,3,0,0.7019230769230769,0.9903846153846154
1,135,2905,-95.753125,21,energy,18,1,2,0.640625,0.9583333333333334
1,136,2921,-98.571875,16,overload,12,0,4,0.6357421875,1.0
1,137,2942,-96.41875,21,energy,19,1,1,0.7247023809523809,1.0
1,138,2963,-95.925,21,energy,18,1,2,0.6488095238095238,0.9761904761904762
1,139,2976,-98.575,13,overload,11,2,0,0.7211538461538461,1.0
1,140,3004,-97.7375,28,energy,20,3,5,0.6049107142857143,0.9955357142857143
1,141,3029,-96.515625,25,energy,20,2,3,0.640625,0.995
1,142,3043,-97.684375,14,overload,12,2,0,0.6774553571428571,0.9553571428571429
1,143,3052,-97.40625,9,overload,9,0,0,0.7118055555555556,0.9861111111111112
1,144,3067,-97.759375,15,overload,11,1,3,0.5572916666666666,0.9666666666666667
1,145,3077,-99.16875,10,overload,8,2,0,0.696875,1.0
1,146,3098,-98.421875,21,overload,16,3,2,0.6629464285714286,1.0
1,147,3116,-95.04375,18,energy,16,0,2,0.6024305555555556,0.9722222222222222
1,148,3131,-97.371875,15,overload,13,0,2,0.678125,0.9333333333333333
